review,sentiment
"I love this product! It works great.",positive
"This is the worst thing I have ever bought.",negative
"Absolutely fantastic, will buy again.",positive
"I hate it. Complete waste of money.",negative
"Good quality and fast shipping.",positive
"Terrible, broke after one use.",negative
"Very satisfied with my purchase.",positive
"Not what I expected, very disappointed.",negative
"Exceeded my expectations, highly recommend!",positive
"Awful experience, do not recommend.",negative
 
